datetime_utc,sample_set,scan_type,filename,collected_by,description,comments,dilution,Raman_Area,cigarette,diesel,wood_smoke,calibration_sample,prototypical_sample,test_sample,original_date
2020-07-01 10:29:05,1,blank_eem,blank_eem1.csv,JR,Spectroscopy Grade Blank,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,,,,,,,2016-11-30
2020-07-01 10:29:06,1,sample_eem,sample_eem1.csv,JR,Diesel1,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,0.0,5.0,0.0,y,,y,2016-11-30
2020-07-01 10:29:07,1,sample_eem,sample_eem2.csv,JR,Diesel2,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,0.0,5.0,0.0,y,y,,2016-11-30
2020-07-01 10:29:08,1,sample_eem,sample_eem3.csv,JR,Diesel3,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,0.0,5.0,0.0,y,,y,2016-11-30
2020-07-01 10:29:09,1,sample_eem,sample_eem4.csv,JR,Cigarette from Cookstove Lab Hood,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,0.77,0.0,0.0,y,,y,2016-11-30
2020-07-01 10:29:10,1,sample_eem,sample_eem5.csv,JR,Cigarette from Cookstove Lab Hood,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,5.0,0.0,0.0,y,y,,2016-11-30
2020-07-01 10:29:11,1,sample_eem,sample_eem6.csv,JR,Cigarette from Cookstove Lab Hood,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,5.0,0.0,0.0,y,y,,2016-11-30
2020-07-01 10:29:12,1,absorb,absorb1.csv,JR,,,,,0.0,5.0,0.0,,,,2016-11-30
2020-07-01 10:29:13,1,absorb,absorb2.csv,JR,,,,,0.0,5.0,0.0,,,,2016-11-30
2020-07-01 10:29:14,1,absorb,absorb3.csv,JR,,,,,0.0,5.0,0.0,,,,2016-11-30
2020-07-01 10:29:15,1,absorb,absorb4.csv,JR,,,,,0.77,0.0,0.0,,,,2016-11-30
2020-07-01 10:29:16,1,absorb,absorb5.csv,JR,,,,,5.0,0.0,0.0,,,,2016-11-30
2020-07-01 10:29:17,1,absorb,absorb6.csv,JR,,,,,5.0,0.0,0.0,,,,2016-11-30
2020-07-01 10:29:18,2,blank_eem,blank_eem1.csv,JR,Chem Store Cyclohexane Blank,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,,,,,,,2016-11-30
2020-07-01 10:29:19,2,sample_eem,sample_eem1.csv,JR,WoodSmoke,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,2040.3794,0.0,0.0,5.0,y,y,,2016-11-30
2020-07-01 10:29:20,2,absorb,absorb1.csv,JR,,,,,0.0,0.0,5.0,,,,2016-11-30
2020-07-01 10:29:21,3,blank_eem,blank_eem1.csv,JR,2017-02-24 Cyclohexane Blank,Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,1504.82788,,,,,,,2017-02-24
2020-07-01 10:29:22,3,sample_eem,sample_eem1.csv,JR,PM2.5 Wood Smoke,Possible detector saturation. Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,1504.82788,0.0,0.0,5.0,y,y,,2017-02-24
2020-07-01 10:29:23,3,sample_eem,sample_eem2.csv,JR,No Impactor Wood Smoke,Possible detector saturation. Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,1504.82788,0.0,0.0,5.0,y,y,,2017-02-24
2020-07-01 10:29:24,3,absorb,absorb1.csv,JR,,,,,0.0,0.0,5.0,,,,2017-02-24
2020-07-01 10:29:25,3,absorb,absorb2.csv,JR,,,,,0.0,0.0,5.0,,,,2017-02-24
2020-07-01 10:29:27,5,blank_eem,blank_eem1.csv,JR,2017-05-12 Cyclohexane Blank,,,1311.9,,,,,,,2017-05-12
2020-07-01 10:29:28,5,sample_eem,sample_eem1.csv,JR,Diesel 10ug/mL (ZEF0086),Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,1311.9,0.0,10.0,0.0,y,y,,2017-05-12
2020-07-01 10:29:29,5,sample_eem,sample_eem2.csv,JR,Diesel 10ug/mL (ZEF0087),Raman units collected with 1 pixel binning so area multiplied by 4 to match 4 pixel binning used on samples,,1311.9,0.0,10.0,0.0,y,y,,2017-05-12
2020-07-01 10:29:30,5,absorb,absorb1.csv,JR,,,,,0.0,10.0,0.0,,,,2017-05-12
2020-07-01 10:29:31,5,absorb,absorb2.csv,JR,,,,,0.0,10.0,0.0,,,,2017-05-12
2020-07-01 10:29:33,7,blank_eem,blank_eem1.csv,JR,2017-07-19 Cyclohexane Blank,,,1255.5,,,,,,,2017-07-19
2020-07-01 10:29:34,7,sample_eem,sample_eem1.csv,JR,Cigarette 5 ug/mL (ZEF0094),,,1255.5,5.0,0.0,0.0,y,,y,2017-07-19
2020-07-01 10:29:35,7,sample_eem,sample_eem2.csv,JR,Cooksotve 5 ug/mL (ZEF0093),,,1255.5,0.0,0.0,5.0,y,,y,2017-07-19
2020-07-01 10:29:36,7,absorb,absorb1.csv,JR,,,,,5.0,0.0,0.0,,,,2017-07-19
2020-07-01 10:29:37,7,absorb,absorb2.csv,JR,,,,,0.0,0.0,5.0,,,,2017-07-19
2020-07-01 10:29:39,9,blank_eem,blank_eem1.csv,JR,2017-10-16 Cyclohexane Blank,,,1184.8,,,,,,,2017-10-16
2020-07-01 10:29:40,9,sample_eem,sample_eem1.csv,JR,Cigarette 5 ug/mL (ZEF0094),Mixed 2017-10-13,,1184.8,5.0,0.0,0.0,y,,y,2017-10-16
2020-07-01 10:29:41,9,sample_eem,sample_eem2.csv,JR,Diesel 5 µg/mL (ZEF0015),Mixed 2017-10-13,,1184.8,0.0,5.0,0.0,y,,y,2017-10-16
2020-07-01 10:29:42,9,sample_eem,sample_eem3.csv,JR,Cig + Diesel 5 µg/mL (ZEF0094 & 0015),Mixed 2017-10-13,,1184.8,5.0,5.0,0.0,,,y,2017-10-16
2020-07-01 10:29:43,9,sample_eem,sample_eem4.csv,JR,Cig + Cookstove 5 µg/mL (ZEF0094 & 0026),Mixed 2017-10-13,,1184.8,5.0,0.0,5.0,,,y,2017-10-16
2020-07-01 10:29:44,9,sample_eem,sample_eem5.csv,JR,Diesel + Cookstove 5 µg/mL (ZEF0015 & 0026),Mixed 2017-10-13,,1184.8,0.0,5.0,5.0,,,y,2017-10-16
2020-07-01 10:29:45,9,sample_eem,sample_eem6.csv,JR,Cig + Diesel + Cookstove 4 µg/mL (ZEF0094 & 0015 &0026),Mixed 2017-10-13,,1184.8,4.0,4.0,4.0,,,y,2017-10-16
2020-07-01 10:29:46,9,sample_eem,sample_eem7.csv,JR,Cookstove 5 µg/mL (ZEF0026),Mixed 2017-10-13,,1184.8,0.0,0.0,5.0,y,,y,2017-10-16
2020-07-01 10:29:47,9,absorb,absorb1.csv,JR,,,,,5.0,0.0,0.0,,,,2017-10-16
2020-07-01 10:29:48,9,absorb,absorb2.csv,JR,,,,,0.0,5.0,0.0,,,,2017-10-16
2020-07-01 10:29:49,9,absorb,absorb3.csv,JR,,,,,5.0,5.0,0.0,,,,2017-10-16
2020-07-01 10:29:50,9,absorb,absorb4.csv,JR,,,,,5.0,0.0,5.0,,,,2017-10-16
2020-07-01 10:29:51,9,absorb,absorb5.csv,JR,,,,,0.0,5.0,5.0,,,,2017-10-16
2020-07-01 10:29:52,9,absorb,absorb6.csv,JR,,,,,4.0,4.0,4.0,,,,2017-10-16
2020-07-01 10:29:53,9,absorb,absorb7.csv,JR,,,,,0.0,0.0,5.0,,,,2017-10-16
2020-07-01 10:29:54,10,blank_eem,blank_eem1.csv,JR,2017-10-27 Cyclohexane Blank,,,1196.7,,,,,,,2017-10-27
2020-07-01 10:29:55,10,sample_eem,sample_eem12.csv,JR,Cookstove 5 µg/mL,Mixed 2017-10-26,,1196.7,0.0,0.0,5.0,y,,y,2017-10-27
2020-07-01 10:29:56,10,sample_eem,sample_eem11.csv,JR,Cookstove 3 µg/mL,Mixed 2017-10-26,,1196.7,0.0,0.0,3.0,y,,y,2017-10-27
2020-07-01 10:29:57,10,sample_eem,sample_eem10.csv,JR,Cookstove 2 µg/mL,Mixed 2017-10-26,,1196.7,0.0,0.0,2.0,y,,y,2017-10-27
2020-07-01 10:29:58,10,sample_eem,sample_eem9.csv,JR,Cookstove 1 µg/mL,Mixed 2017-10-26,,1196.7,0.0,0.0,1.0,y,,y,2017-10-27
2020-07-01 10:29:59,10,sample_eem,sample_eem8.csv,JR,Diesel 5 µg/mL,Mixed 2017-10-26,,1196.7,0.0,5.0,0.0,y,,y,2017-10-27
2020-07-01 10:30:00,10,sample_eem,sample_eem1.csv,JR,Cigarette 1 ug/mL,Mixed 2017-10-26,,1196.7,1.0,0.0,0.0,y,,y,2017-10-27
2020-07-01 10:30:01,10,sample_eem,sample_eem6.csv,JR,Diesel 2 µg/mL,Mixed 2017-10-26,,1196.7,0.0,2.0,0.0,y,,y,2017-10-27
2020-07-01 10:30:02,10,sample_eem,sample_eem5.csv,JR,Diesel 1 µg/mL,Mixed 2017-10-26,,1196.7,0.0,1.0,0.0,y,,y,2017-10-27
2020-07-01 10:30:03,10,sample_eem,sample_eem4.csv,JR,Cigarette 5 ug/mL,Mixed 2017-10-26,,1196.7,5.0,0.0,0.0,y,,y,2017-10-27
2020-07-01 10:30:04,10,sample_eem,sample_eem3.csv,JR,Cigarette 3 ug/mL,Mixed 2017-10-26,,1196.7,3.0,0.0,0.0,y,,y,2017-10-27
2020-07-01 10:30:05,10,sample_eem,sample_eem2.csv,JR,Cigarette 2 ug/mL,Mixed 2017-10-26,,1196.7,2.0,0.0,0.0,y,,y,2017-10-27
2020-07-01 10:30:06,10,sample_eem,sample_eem7.csv,JR,Diesel 3 µg/mL,Mixed 2017-10-26,,1196.7,0.0,3.0,0.0,y,,y,2017-10-27
2020-07-01 10:30:07,10,absorb,absorb10.csv,JR,,,,,0.0,0.0,2.0,,,,2017-10-27
2020-07-01 10:30:08,10,absorb,absorb9.csv,JR,,,,,0.0,0.0,1.0,,,,2017-10-27
2020-07-01 10:30:09,10,absorb,absorb8.csv,JR,,,,,0.0,5.0,0.0,,,,2017-10-27
2020-07-01 10:30:10,10,absorb,absorb7.csv,JR,,,,,0.0,3.0,0.0,,,,2017-10-27
2020-07-01 10:30:11,10,absorb,absorb6.csv,JR,,,,,0.0,2.0,0.0,,,,2017-10-27
2020-07-01 10:30:12,10,absorb,absorb3.csv,JR,,,,,3.0,0.0,0.0,,,,2017-10-27
2020-07-01 10:30:13,10,absorb,absorb4.csv,JR,,,,,5.0,0.0,0.0,,,,2017-10-27
2020-07-01 10:30:14,10,absorb,absorb2.csv,JR,,,,,2.0,0.0,0.0,,,,2017-10-27
2020-07-01 10:30:15,10,absorb,absorb1.csv,JR,,,,,1.0,0.0,0.0,,,,2017-10-27
2020-07-01 10:30:16,10,absorb,absorb11.csv,JR,,,,,0.0,0.0,3.0,,,,2017-10-27
2020-07-01 10:30:17,10,absorb,absorb5.csv,JR,,,,,0.0,1.0,0.0,,,,2017-10-27
2020-07-01 10:30:18,10,absorb,absorb12.csv,JR,,,,,0.0,0.0,5.0,,,,2017-10-27
2020-07-01 10:30:19,11,blank_eem,blank_eem3.csv,JR,2018-01-10 Cyclohexane Blank,,,1167.8,,,,,,,2018-01-10
2020-07-01 10:30:20,11,blank_eem,blank_eem2.csv,JR,Proc Blank (ZEF0137),,,1167.8,0.0,0.0,0.0,,,y,2018-01-10
2020-07-01 10:30:21,11,blank_eem,blank_eem1.csv,JR,Proc Blank,,,1167.8,0.0,0.0,0.0,,,y,2018-01-10
2020-07-01 10:30:22,11,sample_eem,sample_eem1.csv,JR,"Cig (6min, 5ug/mL)",,,1167.8,5.0,0.0,0.0,y,y,,2018-01-10
2020-07-01 10:30:23,11,sample_eem,sample_eem11.csv,JR,"Wood (20min, 5ug/mL)",,,1167.8,0.0,0.0,5.0,y,,y,2018-01-10
2020-07-01 10:30:24,11,sample_eem,sample_eem10.csv,JR,"Diesel (384min, 5ug/mL)",,,1167.8,0.0,5.0,0.0,y,,y,2018-01-10
2020-07-01 10:30:25,11,sample_eem,sample_eem9.csv,JR,"Diesel (384min, 5ug/mL)",,,1167.8,0.0,5.0,0.0,y,y,,2018-01-10
2020-07-01 10:30:26,11,sample_eem,sample_eem12.csv,JR,"Wood (20min, 5ug/mL)",,,1167.8,0.0,0.0,5.0,y,,y,2018-01-10
2020-07-01 10:30:27,11,sample_eem,sample_eem7.csv,JR,"Cig (1min,5ug/mL) + Wood (20min, 2.1ug/mL)",,,1167.8,5.0,0.0,2.1,,,y,2018-01-10
2020-07-01 10:30:28,11,sample_eem,sample_eem6.csv,JR,"Cig (1min,5ug/mL) + Diesel (384min, 1.2ug/mL) + Wood (20min, 1.6ug/mL)",,,1167.8,5.0,1.200000047683716,1.600000023841858,,,y,2018-01-10
2020-07-01 10:30:29,11,sample_eem,sample_eem5.csv,JR,"Cig (1min,5ug/mL) + Diesel (384min, 1.2ug/mL)",,,1167.8,5.0,1.200000047683716,0.0,,,y,2018-01-10
2020-07-01 10:30:30,11,sample_eem,sample_eem4.csv,JR,"Cig (2min,5ug/mL) + Diesel (384min, 0.7ug/mL)",,,1167.8,5.0,0.699999988079071,0.0,,,y,2018-01-10
2020-07-01 10:30:31,11,sample_eem,sample_eem3.csv,JR,"Cig (5min, 5ug/mL) + HEPA (304min)",,,1167.8,5.0,0.0,0.0,y,y,,2018-01-10
2020-07-01 10:30:32,11,sample_eem,sample_eem2.csv,JR,"Cig (2min, 5ug/mL)",,,1167.8,5.0,0.0,0.0,y,,y,2018-01-10
2020-07-01 10:30:33,11,sample_eem,sample_eem8.csv,JR,"Diesel (384min, 3.1ug/mL) + Wood (20min, 5ug/mL)",,,1167.8,0.0,3.1,5.0,,,y,2018-01-10
2020-07-01 10:30:34,11,absorb,absorb10.csv,JR,,,,,0.0,5.0,0.0,,,,2018-01-10
2020-07-01 10:30:35,11,absorb,absorb9.csv,JR,,,,,0.0,5.0,0.0,,,,2018-01-10
2020-07-01 10:30:36,11,absorb,absorb8.csv,JR,,,,,0.0,3.1,5.0,,,,2018-01-10
2020-07-01 10:30:37,11,absorb,absorb7.csv,JR,,,,,5.0,0.0,2.1,,,,2018-01-10
2020-07-01 10:30:38,11,absorb,absorb6.csv,JR,,,,,5.0,1.200000047683716,1.600000023841858,,,,2018-01-10
2020-07-01 10:30:39,11,absorb,absorb3.csv,JR,,,,,5.0,0.0,0.0,,,,2018-01-10
2020-07-01 10:30:40,11,absorb,absorb4.csv,JR,,,,,5.0,0.699999988079071,0.0,,,,2018-01-10
2020-07-01 10:30:41,11,absorb,absorb2.csv,JR,,,,,5.0,0.0,0.0,,,,2018-01-10
2020-07-01 10:30:42,11,absorb,absorb1.csv,JR,,,,,5.0,0.0,0.0,,,,2018-01-10
2020-07-01 10:30:43,11,absorb,absorb11.csv,JR,,,,,0.0,0.0,5.0,,,,2018-01-10
2020-07-01 10:30:44,11,absorb,absorb5.csv,JR,,,,,5.0,1.200000047683716,0.0,,,,2018-01-10
2020-07-01 10:30:45,11,absorb,absorb12.csv,JR,,,,,0.0,0.0,5.0,,,,2018-01-10
2020-07-01 10:30:46,12,blank_eem,blank_eem1.csv,JR,2018-01-17 Cyclohexane Blank,,,1192.1,,,,,,,2018-01-17
2020-07-01 10:30:47,12,sample_eem,sample_eem1.csv,JR,Diesel 10ug/mL (ZEF0132),,,1192.1,0.0,10.0,0.0,y,,y,2018-01-17
2020-07-01 10:30:48,12,sample_eem,sample_eem2.csv,JR,Diesel 10ug/mL (ZEF0015),,,1192.1,0.0,10.0,0.0,y,,y,2018-01-17
2020-07-01 10:30:49,12,sample_eem,sample_eem3.csv,JR,Cookstove 5ug/mL Filtered (ZEF-0017),,,1192.1,0.0,0.0,5.0,y,,y,2018-01-17
2020-07-01 10:30:50,12,sample_eem,sample_eem4.csv,JR,Cookstove 5ug/mL Unfiltered (ZEF-0017),,,1192.1,0.0,0.0,5.0,y,,y,2018-01-17
2020-07-01 10:30:51,12,absorb,absorb1.csv,JR,,,,,0.0,10.0,0.0,,,,2018-01-17
